,,total,male_0,female_0,male_1,female_1,male_2,female_2,male_3,female_3,male_4,female_4,male_5,female_5,male_6,female_6,male_7,female_7,male_8,female_8,male_9,female_9,male_10,female_10,male_11,female_11,male_12,female_12,male_13,female_13,male_14,female_14,male_15,female_15,male_16,female_16,male_17,female_17,male_18,female_18,male_19,female_19,male_20,female_20,male_21,female_21,male_22,female_22,male_23,female_23,male_24,female_24,male_25,female_25,male_26,female_26,male_27,female_27,male_28,female_28,male_29,female_29,male_30,female_30,male_31,female_31,male_32,female_32,male_33,female_33,male_34,female_34,male_35,female_35,male_36,female_36,male_37,female_37,male_38,female_38,male_39,female_39,male_40,female_40,male_41,female_41,male_42,female_42,male_43,female_43,male_44,female_44,male_45,female_45,male_46,female_46,male_47,female_47,male_48,female_48,male_49,female_49,male_50,female_50,male_51,female_51,male_52,female_52,male_53,female_53,male_54,female_54,male_55,female_55,male_56,female_56,male_57,female_57,male_58,female_58,male_59,female_59,male_60,female_60,male_61,female_61,male_62,female_62,male_63,female_63,male_64,female_64,male_65,female_65,male_66,female_66,male_67,female_67,male_68,female_68,male_69,female_69,male_70,female_70,male_71,female_71,male_72,female_72,male_73,female_73,male_74,female_74,male_75,female_75,male_76,female_76,male_77,female_77,male_78,female_78,male_79,female_79,male_80,female_80,male_81,female_81,male_82,female_82,male_83,female_83,male_84,female_84,male_85,female_85,male_86,female_86,male_87,female_87,male_88,female_88,male_89,female_89,male_90,female_90,male_91,female_91,male_92,female_92,male_93,female_93,male_94,female_94,male_95,female_95,male_96,female_96,male_97,female_97,male_98,female_98,male_99,female_99,male_100,female_100
2000,กรุงเทพมหานคร,5232447,0.005495899,0.005146158,0.005726766,0.005445827,0.006219843,0.005724473,0.007278812,0.006830074,0.007716657,0.007243647,0.007941982,0.007597401,0.007612882,0.007267728,0.007660852,0.007287986,0.007851776,0.007418135,0.007701941,0.007332134,0.00765894,0.007398259,0.007471074,0.007094577,0.007472221,0.007173126,0.007052532,0.006779046,0.007328693,0.007054061,0.007676332,0.00748751,0.007897261,0.007655883,0.008021868,0.007891528,0.008077674,0.008007152,0.008302043,0.008294781,0.008532337,0.008698607,0.008899469,0.008764733,0.009087526,0.008762057,0.008564635,0.009085997,0.008679687,0.009138363,0.008307012,0.008844237,0.008278345,0.008868126,0.008026837,0.008750399,0.008661148,0.009392737,0.00883449,0.00977363,0.008817481,0.009772865,0.008694594,0.009919068,0.009083513,0.010348313,0.008992924,0.01016102,0.008880166,0.010179367,0.009293166,0.010567331,0.009524798,0.010755771,0.009243476,0.01049509,0.009077971,0.010408897,0.00896139,0.010050365,0.009112562,0.010388256,0.008829712,0.009912762,0.008231904,0.009214809,0.008053976,0.009032294,0.008276242,0.009361203,0.007756983,0.008956039,0.007257216,0.008270318,0.006876133,0.00790395,0.006604176,0.007544845,0.006166904,0.007155543,0.006129637,0.00693901,0.005693512,0.006492373,0.004993266,0.005558394,0.004639894,0.005233689,0.004220779,0.004853943,0.003695021,0.004295313,0.003759618,0.004278495,0.003389428,0.003901807,0.003548053,0.004096936,0.003421535,0.003875242,0.002875328,0.003415228,0.003261571,0.003897412,0.002953494,0.003527986,0.002880488,0.003428606,0.002748236,0.003408539,0.002395055,0.002984263,0.00229816,0.002879341,0.001957975,0.002562472,0.002066337,0.002704662,0.001602692,0.002171642,0.001518601,0.002136094,0.001357109,0.001986642,0.00126136,0.001877515,0.001025333,0.001634226,0.000961883,0.00140871,0.000851418,0.001303405,0.000722989,0.001123375,0.000688588,0.001073685,0.000572008,0.000902255,0.000489637,0.000773252,0.000485433,0.000729295,0.000320691,0.000525184,0.000342096,0.000566848,0.000305975,0.000540665,0.000275015,0.000470717,0.000207169,0.000382039,0.000186337,0.00035643,0.000149452,0.000273295,0.000117154,0.000231058,0.000124416,0.00022284,9.96E-05,0.000172195,8.60E-05,0.000158434,6.73E-05,0.000127856,6.27E-05,0.000113522,4.64E-05,8.89E-05,4.24E-05,7.61E-05,4.68E-05,7.09E-05,3.40E-05,5.70E-05,3.44E-05,5.70E-05,3.54E-05,5.62E-05,2.81E-05,3.99E-05
2001,กรุงเทพมหานคร,5285784,0.005110311,0.00483145,0.006196432,0.005839436,0.005762059,0.005490009,0.006330565,0.005840004,0.007498982,0.007075582,0.007869977,0.007400794,0.008100785,0.007725439,0.007646548,0.007323795,0.007620818,0.007259093,0.007824572,0.007413281,0.007718817,0.007369389,0.00770425,0.007438632,0.007466631,0.007122311,0.007431632,0.007171878,0.006948827,0.006710452,0.00725758,0.00707142,0.007666791,0.007521306,0.007760627,0.007538522,0.007907058,0.007798843,0.008051029,0.008024732,0.008228297,0.008248729,0.008587941,0.008725101,0.009111042,0.008782614,0.008375295,0.008733804,0.008439051,0.009062043,0.008603643,0.009140555,0.008243432,0.008894802,0.008241162,0.008970665,0.008059542,0.008851667,0.008634481,0.009478064,0.008808722,0.009847167,0.008784317,0.0098256,0.008619157,0.009916977,0.009032908,0.010336972,0.008908801,0.01011638,0.008757263,0.010130947,0.009169501,0.0104537,0.009363985,0.010640616,0.009063367,0.010371971,0.008910315,0.01027,0.008781668,0.009924166,0.008915991,0.010235757,0.008623886,0.009758628,0.008034191,0.009043502,0.007873572,0.008872478,0.008075245,0.009184446,0.007561603,0.008790181,0.00707842,0.008104758,0.006708371,0.007749087,0.006431591,0.007379605,0.006008191,0.006998205,0.005953138,0.006789532,0.005544684,0.006357051,0.004864557,0.005437415,0.004497724,0.005124878,0.004088135,0.0047431,0.003578088,0.00419162,0.003641844,0.004172134,0.003274443,0.003804166,0.003420874,0.003986731,0.003282011,0.003778437,0.002734694,0.003325335,0.003121013,0.003792436,0.002831936,0.003425225,0.002760234,0.003331578,0.00262856,0.003311524,0.002295024,0.002895313,0.002190593,0.002792963,0.001864813,0.00247967,0.001960163,0.002619101,0.00152371,0.002096945,0.001429305,0.002056459,0.001282307,0.001906245,0.001186579,0.001793868,0.00096296,0.001568169,0.000899204,0.001348523,0.000797989,0.0012282,0.000668775,0.001065121,0.000638505,0.001011581,0.000527263,0.000848124,0.000449697,0.000720234,0.000443643,0.000674451,0.000288131,0.000480723,0.000307807,0.000514209,0.000275077,0.000491129,0.000247267,0.000424535,0.000182944,0.00034205,0.000166106,0.000317266,0.000133755,0.000237808,0.000102728,0.000202619,0.000111242,0.000192214,8.76E-05,0.000152863,7.47E-05,0.000136404,5.68E-05,0.000107458,5.73E-05,9.89E-05,4.22E-05,7.91E-05,3.84E-05,6.87E-05,4.41E-05,6.43E-05,3.18E-05,5.05E-05,3.25E-05,5.05E-05,3.35E-05,5.16E-05
2002,กรุงเทพมหานคร,5347519,0.005199795,0.004919665,0.005642617,0.005332566,0.006242895,0.005886842,0.005876744,0.005606899,0.006563979,0.006090114,0.007651773,0.007281321,0.008001468,0.007530408,0.008120962,0.00775425,0.007603339,0.007319843,0.007597168,0.007256823,0.007734241,0.007381367,0.007683002,0.0073737,0.007664489,0.007431858,0.007378001,0.007064398,0.007323957,0.007098245,0.006897404,0.006717134,0.007242985,0.007094692,0.007553035,0.007426061,0.007656448,0.007421947,0.007823628,0.00780979,0.007941253,0.007984637,0.008300859,0.008286647,0.008996508,0.008747795,0.008533303,0.008764251,0.00827767,0.008729282,0.008391368,0.009076172,0.008514229,0.009193235,0.008194641,0.008990898,0.008229985,0.009094124,0.008009696,0.008948823,0.008587908,0.009524417,0.008755649,0.009896739,0.008721428,0.00985298,0.008561727,0.009933953,0.008933676,0.010348911,0.008802587,0.010088043,0.008627926,0.010072334,0.009032787,0.010372287,0.009205577,0.010527312,0.008903942,0.010270183,0.008739006,0.010141151,0.008607356,0.009806043,0.008731152,0.010088417,0.008437371,0.009607633,0.007860842,0.008907308,0.007697027,0.008709272,0.007879916,0.009029047,0.007374635,0.008638024,0.006909933,0.007964254,0.006537611,0.007613063,0.006281231,0.0072327,0.005850003,0.00685963,0.005791658,0.006653927,0.005398578,0.006235041,0.004737524,0.005332192,0.004374926,0.005010922,0.003969878,0.004646828,0.003463475,0.004092926,0.003532105,0.004084137,0.003163149,0.00371275,0.003287506,0.003890215,0.003147628,0.00367965,0.002633184,0.003245991,0.003016352,0.003699847,0.002727994,0.003338371,0.002649827,0.003239259,0.002520421,0.003219437,0.002194476,0.00281121,0.002083583,0.002712847,0.001767923,0.002398121,0.00185918,0.002530893,0.001442351,0.002022994,0.00134511,0.001982602,0.00121346,0.001834683,0.001121268,0.001712944,0.000903784,0.001500883,0.000841325,0.001286578,0.00074614,0.001167457,0.000620662,0.001007383,0.000591489,0.000954648,0.000490321,0.000795135,0.000409349,0.000674331,0.00040617,0.00063263,0.000261243,0.000444131,0.000283683,0.00047106,0.00024703,0.000444879,0.000220289,0.000384851,0.000164188,0.000305936,0.000149602,0.000280691,0.000118934,0.000209069,9.07E-05,0.000174099,0.000100981,0.000164936,7.87E-05,0.000133146,6.69E-05,0.000120056,5.20E-05,9.41E-05,5.31E-05,8.53E-05,3.81E-05,7.07E-05,3.65E-05,6.02E-05,4.04E-05,5.89E-05,3.01E-05,4.54E-05,3.09E-05,4.71E-05
2003,กรุงเทพมหานคร,5408921,0.005343949,0.004949786,0.005659724,0.005378522,0.005653993,0.005362068,0.006336014,0.005977163,0.006137823,0.0058581,0.00674996,0.00631198,0.007797304,0.00743383,0.008059463,0.007583398,0.008105313,0.007722612,0.007596155,0.007324566,0.007634979,0.00730275,0.007773269,0.007465075,0.007690073,0.007394266,0.00762592,0.007401846,0.007253572,0.006984757,0.007242664,0.007088475,0.006860148,0.006727774,0.007097904,0.006990673,0.00742588,0.007293137,0.007573784,0.007394451,0.007681569,0.007747571,0.007978486,0.008032656,0.008539411,0.008331791,0.008451223,0.008744997,0.008478401,0.008776242,0.008242309,0.00875646,0.008370431,0.009119379,0.008517595,0.009313503,0.008221973,0.009136018,0.008243973,0.009182423,0.008006588,0.009027679,0.008568807,0.009556065,0.008730947,0.00990179,0.008690458,0.009855755,0.008525545,0.009922681,0.008875153,0.010321652,0.008718744,0.010011424,0.008559008,0.009971675,0.008901775,0.010273213,0.00906373,0.010407066,0.008750729,0.010128083,0.008589329,0.009980919,0.008435324,0.009644807,0.008547361,0.009902714,0.008251553,0.009443658,0.007693771,0.008736863,0.007519614,0.008545142,0.007685082,0.00885574,0.007197739,0.008467678,0.006723522,0.007804884,0.006376133,0.00744973,0.006112864,0.007073869,0.005686532,0.006724262,0.005628479,0.00651091,0.005229324,0.006099738,0.004605909,0.00521176,0.004241881,0.004897465,0.003843465,0.004525302,0.003353904,0.003992848,0.003402897,0.003993588,0.003025742,0.003628635,0.00312151,0.003791144,0.003028515,0.003591474,0.002524533,0.003150906,0.002895772,0.003597021,0.002614754,0.003241312,0.002540063,0.003138889,0.002417118,0.003111711,0.00209173,0.002717732,0.001989861,0.002626772,0.001680927,0.002310257,0.001757282,0.00244448,0.001363118,0.001947708,0.00126809,0.00189816,0.001140523,0.001761534,0.001055479,0.001641547,0.000848968,0.001433373,0.000780008,0.001223719,0.00069182,0.001097816,0.00056943,0.000945475,0.00054632,0.000893154,0.000440938,0.000739334,0.00037623,0.000626003,0.000371423,0.000585884,0.000233503,0.000406735,0.000251067,0.000427442,0.000221301,0.000405811,0.000198746,0.000341103,0.000147534,0.000271034,0.000133113,0.000241268,9.78E-05,0.000179888,7.28E-05,0.000143282,8.28E-05,0.000133668,6.51E-05,0.000110188,5.66E-05,9.98E-05,4.42E-05,7.69E-05,4.66E-05,7.17E-05,3.31E-05,5.82E-05,3.12E-05,4.83E-05,3.29E-05,4.79E-05,2.59E-05,3.75E-05
2004,กรุงเทพมหานคร,5426762,0.00541778,0.005112072,0.005781164,0.005373186,0.005691423,0.005418148,0.005733622,0.005469744,0.006574455,0.006246819,0.006355355,0.0060959,0.006899142,0.006486188,0.007877441,0.00751461,0.008062635,0.007593478,0.00806374,0.007707911,0.007650234,0.007390595,0.007701646,0.00739557,0.007780146,0.007514241,0.007637151,0.007381013,0.007520138,0.007326837,0.007156754,0.006963268,0.007179419,0.007064249,0.006723899,0.006640424,0.007019103,0.006870948,0.007371615,0.007236728,0.00739944,0.007371062,0.008058581,0.007756559,0.008404644,0.008023016,0.008112572,0.00830182,0.008377003,0.008733937,0.008421965,0.008792352,0.008179279,0.008769871,0.008328539,0.009176006,0.008471166,0.009368202,0.008171908,0.009178586,0.008162326,0.00923313,0.007955573,0.009053281,0.008388796,0.009565557,0.008646408,0.009915858,0.008577122,0.009838095,0.008422518,0.009841228,0.008781848,0.010241282,0.008586336,0.009938892,0.008407592,0.009848414,0.008719749,0.010155964,0.008903652,0.010265606,0.008565144,0.009993805,0.008423624,0.009829987,0.00826515,0.009495718,0.008351942,0.009738404,0.008062266,0.009277355,0.007506871,0.008581913,0.007350055,0.008399852,0.007489918,0.008694135,0.007013759,0.008306058,0.006558791,0.007652077,0.006196513,0.007306014,0.005954564,0.006933232,0.005547323,0.006596383,0.005469376,0.006360146,0.005070058,0.0059682,0.004466199,0.005108571,0.004097287,0.004789044,0.003710684,0.004425107,0.00323342,0.003914673,0.00325498,0.003897536,0.002886989,0.003540417,0.002996999,0.003701471,0.002906521,0.003509275,0.002425203,0.00307384,0.00276758,0.003501167,0.002505914,0.003153077,0.0024311,0.003047674,0.002304689,0.003028694,0.001983503,0.002633983,0.001888603,0.00253982,0.001594137,0.002229322,0.001661949,0.002351126,0.001283638,0.001870913,0.001194082,0.001820607,0.001063618,0.001684246,0.000989725,0.001563363,0.000791079,0.001365639,0.000723267,0.001161466,0.000642925,0.001034134,0.000522227,0.000893719,0.000498456,0.000837147,0.00040245,0.000690651,0.000339245,0.000577324,0.000335375,0.000533283,0.000209701,0.000374993,0.000222048,0.00038863,0.000195144,0.000365596,0.000171926,0.000297231,0.000128806,0.000243423,0.00011646,0.000213755,8.33E-05,0.000156631,6.36E-05,0.000123094,7.28E-05,0.000112037,5.69E-05,9.34E-05,4.74E-05,8.38E-05,3.76E-05,6.43E-05,3.59E-05,6.17E-05,2.71E-05,4.96E-05,2.65E-05,4.16E-05,2.87E-05,4.16E-05
2005,กรุงเทพมหานคร,5444975,0.005244469,0.004948967,0.005765683,0.005448877,0.005739237,0.005371191,0.005729687,0.005472752,0.005884141,0.005623901,0.006754117,0.00641013,0.00642519,0.006182581,0.006914632,0.006512243,0.007852378,0.007513349,0.008065234,0.00762391,0.008097374,0.007790118,0.007700494,0.007476802,0.007732634,0.007458987,0.007728226,0.007499759,0.007550999,0.007329878,0.007432908,0.007299758,0.007103247,0.00693061,0.007086534,0.006970647,0.006575053,0.006440066,0.006859536,0.006755954,0.007158343,0.007212338,0.007782589,0.007364588,0.008056603,0.00772639,0.00781785,0.0079982,0.007984242,0.00827001,0.008287274,0.008704723,0.008356329,0.00879802,0.00811023,0.008794898,0.008281213,0.009212898,0.008423914,0.009359088,0.008137411,0.00917984,0.008135024,0.009245405,0.007916473,0.009031814,0.00831923,0.009561844,0.008578184,0.009912993,0.008498111,0.009807759,0.008351003,0.009788658,0.008683419,0.010166071,0.008496825,0.009865243,0.008306191,0.009757253,0.008612161,0.01005753,0.008757432,0.010140175,0.008434015,0.009869099,0.008270561,0.009701973,0.008132452,0.009360557,0.008197099,0.009602248,0.007906923,0.009156883,0.007353569,0.008454584,0.007195258,0.008268358,0.007335571,0.008560554,0.006861189,0.008201691,0.00641766,0.007525654,0.006066695,0.007185341,0.005807006,0.006818948,0.005423533,0.006484695,0.005341622,0.006267063,0.004944008,0.005866877,0.004352637,0.005024449,0.00399506,0.004697175,0.00361122,0.00433519,0.003116819,0.003832341,0.003127287,0.003826097,0.00279083,0.00347109,0.002905247,0.003629585,0.002809747,0.003430686,0.002345282,0.003009931,0.002670719,0.003429951,0.002418744,0.003085414,0.002336099,0.002967874,0.002210662,0.002948774,0.00190359,0.002565117,0.001797253,0.002457495,0.001520852,0.0021563,0.001586417,0.002276594,0.001215249,0.001803498,0.001133155,0.001754645,0.001004412,0.00162076,0.000925073,0.001498262,0.000744723,0.001309281,0.00067273,0.001101566,0.000595779,0.000979802,0.000479525,0.000842428,0.000463179,0.000784393,0.000368413,0.000646284,0.000307623,0.000531683,0.000303583,0.000488707,0.0001899,0.000339579,0.000199083,0.000351517,0.000171718,0.000327091,0.000153352,0.000264831,0.000115152,0.000213591,0.000104867,0.000184574,7.33E-05,0.000135171,5.45E-05,0.00010652,6.76E-05,9.53E-05,5.09E-05,7.92E-05,4.41E-05,7.49E-05,3.45E-05,5.69E-05,3.21E-05,5.44E-05,2.59E-05,4.43E-05,2.46E-05,3.80E-05
2006,กรุงเทพมหานคร,5479904,0.005195164,0.004828734,0.005585499,0.005291881,0.005724735,0.005430935,0.005742071,0.005394255,0.005859227,0.005624369,0.00603569,0.005790977,0.006801579,0.006473106,0.006450295,0.006217992,0.006876215,0.006499931,0.007844116,0.00751473,0.008072769,0.007651411,0.008129887,0.007865831,0.007706704,0.007498124,0.007678237,0.0074567,0.00763444,0.007436809,0.007478781,0.007290274,0.007372757,0.007254689,0.007007969,0.00684501,0.006977312,0.006789717,0.006484238,0.006406134,0.006747198,0.006768184,0.007531154,0.007210528,0.008083353,0.007358706,0.007547213,0.007705427,0.007696303,0.007987731,0.007923314,0.008285182,0.008222772,0.008730992,0.008298868,0.008835191,0.008072039,0.008845593,0.008242115,0.009237571,0.008369672,0.009381551,0.00809704,0.009195782,0.008082806,0.009236841,0.007872218,0.009046144,0.008262006,0.009561664,0.008502886,0.009888494,0.008418578,0.009756375,0.008269488,0.009726448,0.008585004,0.010095067,0.008397045,0.009782288,0.00818591,0.009664038,0.008479528,0.00993813,0.008635918,0.010017511,0.008307262,0.009727908,0.008141201,0.009561664,0.007982439,0.009230819,0.008041747,0.009460932,0.007757253,0.009027895,0.00721144,0.008318941,0.007043189,0.008139194,0.007180418,0.008432812,0.006708694,0.008069667,0.006274198,0.007410896,0.005929666,0.007063992,0.005670355,0.00670322,0.005300823,0.006377666,0.005212318,0.00614737,0.00482472,0.005744079,0.0042446,0.004941145,0.003891127,0.00460519,0.003490937,0.004246607,0.00300352,0.003750431,0.003020673,0.003740759,0.002713186,0.00338984,0.002808261,0.003556267,0.002719208,0.003347869,0.002259529,0.00293527,0.002573585,0.003351154,0.002330698,0.003012462,0.002236353,0.002891292,0.002111716,0.002858444,0.001827222,0.002484898,0.001716271,0.002370844,0.001448201,0.002076861,0.001504953,0.002199491,0.001150385,0.00173306,0.001068084,0.001686708,0.000943995,0.001541268,0.000864796,0.001425755,0.000695633,0.001243817,0.000628661,0.001039617,0.000551652,0.000923191,0.000441066,0.000789977,0.00041935,0.000726838,0.000336137,0.000595631,0.000278472,0.000487965,0.000273545,0.000445993,0.000169529,0.000310407,0.000175186,0.000311867,0.000152375,0.000292706,0.000136681,0.000235406,0.000104199,0.000185222,9.36E-05,0.000159674,6.31E-05,0.000119893,4.95E-05,9.40E-05,6.11E-05,8.16E-05,4.60E-05,6.99E-05,4.01E-05,6.48E-05,3.23E-05,5.35E-05,3.07E-05,4.95E-05,2.32E-05,3.89E-05
2007,กรุงเทพมหานคร,5497541,0.004901828,0.00481397,0.005563578,0.005165582,0.005589954,0.005280543,0.005750389,0.00544498,0.005878264,0.005520104,0.006067076,0.005801139,0.006126194,0.005874445,0.006856338,0.006493267,0.006440698,0.006202773,0.006890717,0.006506363,0.007865699,0.007543191,0.008124541,0.007715631,0.008147097,0.007910628,0.007678524,0.00747898,0.007613586,0.007416771,0.007566292,0.00740331,0.007426775,0.007249969,0.0072587,0.00715047,0.00693692,0.00671573,0.006880713,0.006752655,0.00641887,0.006433058,0.007101539,0.006801586,0.007753103,0.007223229,0.007221047,0.007299991,0.007406584,0.007690347,0.007592304,0.008009945,0.007871337,0.008311898,0.008172745,0.008785382,0.008283158,0.008913803,0.008027225,0.00889816,0.00818566,0.009243042,0.0083159,0.009387652,0.008059967,0.009179377,0.008008853,0.009225034,0.007821861,0.009048227,0.008194755,0.009536809,0.00844523,0.009837853,0.008342639,0.009720528,0.008184386,0.009662866,0.00850453,0.010017206,0.008278792,0.009690878,0.008071609,0.009565186,0.00835901,0.009840218,0.008499982,0.009901882,0.00818857,0.009585376,0.008016675,0.009449861,0.007851328,0.009109345,0.007917904,0.009339085,0.007611585,0.008896159,0.007086441,0.008194391,0.006907452,0.008017948,0.007036237,0.008313535,0.006561479,0.007934275,0.006135652,0.007299809,0.005797501,0.006942922,0.005539386,0.006597495,0.005175405,0.006277534,0.005080271,0.006054161,0.004702102,0.005645069,0.004132029,0.004852897,0.003754952,0.004516019,0.003352226,0.004154039,0.002902752,0.003665821,0.002913484,0.003656544,0.002625356,0.003309662,0.00271103,0.003475736,0.002610986,0.003257274,0.00216897,0.002858187,0.002472378,0.003266551,0.00223027,0.002929855,0.002126951,0.00280871,0.002007989,0.002766328,0.00173714,0.002407986,0.001622362,0.002289751,0.001367884,0.002007807,0.001417907,0.002108215,0.001085212,0.001664199,0.001008633,0.001615086,0.000874027,0.001470112,0.00079963,0.001352787,0.00064738,0.001176344,0.000577167,0.000973526,0.00050277,0.000862749,0.000402726,0.00074124,0.000373985,0.000668481,0.00030359,0.000551156,0.00024611,0.000444199,0.000242654,0.000404181,0.000147157,0.000282308,0.000156434,0.000283036,0.000136607,0.000260844,0.000121145,0.000205546,8.82E-05,0.000159344,8.17E-05,0.000138426,5.57E-05,0.000107503,4.47E-05,7.91E-05,5.37E-05,7.20E-05,4.13E-05,5.86E-05,3.58E-05,5.75E-05,2.84E-05,4.69E-05,2.82E-05,4.31E-05
2008,กรุงเทพมหานคร,5502416,0.004938558,0.004680489,0.005558104,0.005171728,0.005513578,0.005152464,0.005567191,0.0052775,0.005830348,0.005563738,0.006018265,0.005684776,0.006135123,0.005861607,0.006145846,0.005921762,0.006815006,0.00646625,0.00643172,0.006206183,0.006886611,0.00652895,0.007889262,0.007583578,0.00810971,0.007741872,0.008104803,0.007922156,0.007595027,0.007432372,0.007516516,0.007381667,0.007516153,0.007381667,0.007328599,0.007181754,0.007146497,0.006994927,0.006811917,0.006637811,0.006742674,0.006719775,0.006880977,0.006452075,0.007368945,0.006810099,0.007059808,0.007205199,0.007122689,0.007298976,0.007357677,0.00769153,0.007547957,0.008015206,0.007835649,0.00833761,0.008150056,0.008823942,0.008255101,0.008967152,0.007973043,0.008900817,0.008142787,0.009239759,0.008265097,0.009390239,0.00799158,0.009142166,0.007951598,0.009211408,0.007781127,0.009027671,0.008126067,0.009478927,0.008382681,0.009779704,0.008277455,0.009655758,0.008100623,0.009593422,0.008408125,0.009931092,0.008181497,0.009600147,0.007965228,0.009470385,0.008243652,0.009745355,0.008366143,0.009794607,0.008068092,0.009473838,0.007886899,0.009342442,0.007723153,0.008996048,0.00778658,0.009215952,0.007481623,0.008770693,0.006961124,0.008096989,0.006770844,0.007915432,0.006887156,0.008190402,0.006432992,0.007827834,0.006016266,0.007193386,0.005676052,0.006829364,0.005421982,0.006498236,0.005060868,0.006179467,0.00496382,0.005958292,0.00457708,0.005556832,0.003991701,0.004760273,0.003620591,0.004424965,0.003242939,0.004074937,0.00280913,0.003598965,0.002824032,0.003589332,0.002549426,0.003247301,0.002625756,0.00339778,0.002511624,0.003188963,0.002086538,0.002792046,0.002381318,0.0031866,0.00214742,0.002850384,0.002044738,0.002734799,0.0019237,0.002677733,0.001650548,0.002330976,0.001549683,0.002211574,0.00129634,0.00193406,0.001333414,0.002027291,0.001024277,0.001594209,0.000943949,0.001541868,0.000814188,0.001396296,0.000741674,0.001282528,0.000598828,0.001113693,0.00053213,0.000918142,0.000461252,0.000811462,0.000369111,0.000683336,0.000344394,0.000614094,0.000270245,0.000505414,0.000219903,0.000404186,0.000219358,0.000359297,0.000129579,0.000256069,0.000137031,0.000248436,0.000117403,0.000229172,0.000106317,0.000175923,7.87E-05,0.000137212,7.11E-05,0.000119766,4.87E-05,9.38E-05,3.96E-05,6.91E-05,4.78E-05,6.11E-05,3.76E-05,5.09E-05,3.25E-05,5.05E-05,2.56E-05,4.09E-05
2009,กรุงเทพมหานคร,5501904,0.004869587,0.004551334,0.005281081,0.005007903,0.005552805,0.005167847,0.005502822,0.005160214,0.005674399,0.005411763,0.006004649,0.005727654,0.006078805,0.005754372,0.006151325,0.005897776,0.006113338,0.00590741,0.006830908,0.006472487,0.006445223,0.006243111,0.006911426,0.006573361,0.007880363,0.007616636,0.008084474,0.007711149,0.008039217,0.007899811,0.007506311,0.007398348,0.007463416,0.007359271,0.007431791,0.007315831,0.007260577,0.007053195,0.00705792,0.006955956,0.006732578,0.006635703,0.007032293,0.006705133,0.007176788,0.006459764,0.006714766,0.006789468,0.006982492,0.00718733,0.007069371,0.007288749,0.007322192,0.007718237,0.007522123,0.008047214,0.007818203,0.008394549,0.008129368,0.008862568,0.008242601,0.009001066,0.007943432,0.008902191,0.008102104,0.009255341,0.008202615,0.00937839,0.007945249,0.009123751,0.007905263,0.009187001,0.007714239,0.008984526,0.00805194,0.009417104,0.008311123,0.009747353,0.008189165,0.009583228,0.008015952,0.009524884,0.008324209,0.009853498,0.008099741,0.009516524,0.007855644,0.009381298,0.008120825,0.009646842,0.008252779,0.009690827,0.007941251,0.009383297,0.007759859,0.009228442,0.007594462,0.008915823,0.007642809,0.009107393,0.007339459,0.008649551,0.006826909,0.008001412,0.006634431,0.007817294,0.006754389,0.008081929,0.006295275,0.007697881,0.005880146,0.007094817,0.005540627,0.00673585,0.005288351,0.00640142,0.00493302,0.006084439,0.00484196,0.005855973,0.004425559,0.005459565,0.003849576,0.004705644,0.003505695,0.004360309,0.003143094,0.004016246,0.002728692,0.003558768,0.002741778,0.003531505,0.002470781,0.003197802,0.002529488,0.003342479,0.002419526,0.003142003,0.002005669,0.002726874,0.002285391,0.003118557,0.002050381,0.00277613,0.001958413,0.002665623,0.001829185,0.0026011,0.001573092,0.002251948,0.001467128,0.002131807,0.00122085,0.001858811,0.001243024,0.0019446,0.000949671,0.001520019,0.000875152,0.001467128,0.000742107,0.001319907,0.000677402,0.001202493,0.000549264,0.001039822,0.000486559,0.000853886,0.000412039,0.000749922,0.000327886,0.000618877,0.000302804,0.000549446,0.000234283,0.000454752,0.000188844,0.000353877,0.000185936,0.000308439,0.000109235,0.000218288,0.000114869,0.0002112,9.87E-05,0.000193388,9.00E-05,0.000145404,6.56E-05,0.000112143,6.11E-05,9.63E-05,4.13E-05,7.65E-05,3.42E-05,5.13E-05,4.22E-05,4.91E-05,3.36E-05,4.23E-05,2.53E-05,3.62E-05
